trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,2,-133.0524346800738,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-156.28583105249533,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-146.9364960325379,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-146.0760977991084,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-314.5750481841185,"{0: 16, 1: 1, 2: 11, 3: 3, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-118.11010110339582,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-141.2593226942676,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-57.11198164446625,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-104.3882115375747,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-147.52149416445445,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-181.08548386569052,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-2.0717808771568342,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-169.78142057601556,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-188.03986933199263,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-25.709972271160048,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,0.9784753336928051,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-199.97805330856804,"{0: 21, 1: 2, 2: 1, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,11.631667403076545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,19,-38.4272296161023,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-63.84104626889115,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,11,-0.46865988835252903,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,4,2.653583638126741,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-187.26270618104186,"{0: 18, 1: 0, 2: 0, 3: 4, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-37.126373252465385,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-321.4156737128528,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 7}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-35.43785921165934,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-109.07351602296256,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-77.62727240438966,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,28.057133356000413,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-118.07868839723534,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
