trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 0.99}",20,0,-73.70098831730908,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.65, 'e': 0.9801}",20,0,-23.328357080864617,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
3,False,"{'a': 0.65, 'e': 0.970299}",20,0,-83.1706556840523,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.65, 'e': 0.96059601}",25,0,-135.01428514265513,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.65, 'e': 0.9509900498999999}",20,0,-18.364476011398015,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.65, 'e': 0.941480149401}",30,0,-178.0513256043933,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.65, 'e': 0.9320653479069899}",25,0,-142.67491734446642,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.65, 'e': 0.9227446944279201}",20,10,-5.19497525564798,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.65, 'e': 0.9135172474836408}",25,0,-235.97921923095112,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.65, 'e': 0.9043820750088044}",25,0,-119.79494527127122,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.65, 'e': 0.8953382542587164}",25,0,-125.91912899047472,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.65, 'e': 0.8863848717161292}",20,0,-83.85646271698748,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.65, 'e': 0.8775210229989678}",30,0,-178.77665771617524,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.65, 'e': 0.8687458127689782}",20,0,-100.54684284549805,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.65, 'e': 0.8600583546412884}",20,0,-116.76974794633304,"{0: 7, 1: 7, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.65, 'e': 0.8514577710948755}",25,0,-87.75925117572434,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.65, 'e': 0.8429431933839268}",30,0,-123.79336064747629,"{0: 21, 1: 0, 2: 5, 3: 3, 4: 1}",0
18,False,"{'a': 0.65, 'e': 0.8345137614500875}",30,0,-153.07574019419891,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
19,False,"{'a': 0.65, 'e': 0.8261686238355866}",20,0,-100.4152644341654,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.65, 'e': 0.8179069375972308}",30,0,-193.99187000827516,"{0: 13, 1: 4, 2: 11, 3: 0, 4: 2}",0
