trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.42904591857477,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-209.33102645204306,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,1,-185.52444087186734,"{0: 13, 1: 0, 2: 6, 3: 3, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.337703396384,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-204.8545413043417,"{0: 10, 1: 0, 2: 3, 3: 5, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.46973586222734,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.6097850282973,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,19,-33.591176334584574,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.34323200657006,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.75408005830403,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.72192743933527,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.93863375404004,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.96751667701625,"{0: 18, 1: 0, 2: 8, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.47848020400093,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-203.90665914848452,"{0: 19, 1: 0, 2: 14, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.60620915034751,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,21,-19.852041574846986,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.24296003972438,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.84518603145182,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.05391533141537,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-200.65837122747325,"{0: 22, 1: 0, 2: 10, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.22189876601692,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.08183690728474,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,13,-54.13195760408154,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.442510626286115,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-172.7485175547361,"{0: 8, 1: 0, 2: 8, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-231.8430930521522,"{0: 20, 1: 0, 2: 11, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-301.53547313191973,"{0: 9, 1: 0, 2: 9, 3: 3, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.97951269238842,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-200.50681913155302,"{0: 7, 1: 0, 2: 9, 3: 2, 4: 2}",0
